code,causeid,short_desc,long_desc,three_digit,sub_chapter,chapter
A014,respinfect,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified",A01,Intestinal Infectious Diseases,Certain infectious and parasitic diseases
A021,infect,Salmonella sepsis,Salmonella sepsis,A02,Intestinal Infectious Diseases,Certain infectious and parasitic diseases
A042,enteric_all,Enteroinvasive Escherichia coli infection,Enteroinvasive Escherichia coli infection,A04,Intestinal Infectious Diseases,Certain infectious and parasitic diseases
A044,enteric_all,Other intestinal Escherichia coli infections,Other intestinal Escherichia coli infections,A04,Intestinal Infectious Diseases,Certain infectious and parasitic diseases
A045,enteric_all,Campylobacter enteritis,Campylobacter enteritis,A04,Intestinal Infectious Diseases,Certain infectious and parasitic diseases
A046,skin,Enteritis due to Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica,A04,Intestinal Infectious Diseases,Certain infectious and parasitic diseases
A047,enteric_all,Enterocolitis due to Clostridium difficile,Enterocolitis due to Clostridium difficile,A04,Intestinal Infectious Diseases,Certain infectious and parasitic diseases
A048,enteric_all,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections,A04,Intestinal Infectious Diseases,Certain infectious and parasitic diseases
A049,enteric_all,"Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified",A04,Intestinal Infectious Diseases,Certain infectious and parasitic diseases
A073,enteric_all,Isosporiasis,Isosporiasis,A07,Intestinal Infectious Diseases,Certain infectious and parasitic diseases
A081,infect,Acute gastrent d/t Norwalk agent and oth small round viruses,Acute gastroenteropathy due to Norwalk agent and other small round viruses,A08,Intestinal Infectious Diseases,Certain infectious and parasitic diseases
A083,infect,Other viral enteritis,Other viral enteritis,A08,Intestinal Infectious Diseases,Certain infectious and parasitic diseases
A084,infect,"Viral intestinal infection, unspecified","Viral intestinal infection, unspecified",A08,Intestinal Infectious Diseases,Certain infectious and parasitic diseases
A09,enteric_all,"Infectious gastroenteritis and colitis, unspecified","Infectious gastroenteritis and colitis, unspecified",A09,Intestinal Infectious Diseases,Certain infectious and parasitic diseases
A090,ntd,NA,NA,NA,NA,NA
A099,enteric_all,NA,NA,NA,NA,NA
A151,respinfect,NA,NA,NA,NA,NA
A162,respinfect,NA,NA,NA,NA,NA
A169,respinfect,NA,NA,NA,NA,NA
A170,none,Tuberculous meningitis,Tuberculous meningitis,A17,Tuberculosis,Certain infectious and parasitic diseases
A180,none,Tuberculosis of bones and joints,Tuberculosis of bones and joints,A18,Tuberculosis,Certain infectious and parasitic diseases
A181,respinfect,Tuberculosis of genitourinary system,Tuberculosis of genitourinary system,A18,Tuberculosis,Certain infectious and parasitic diseases
A182,respinfect,Tuberculous peripheral lymphadenopathy,Tuberculous peripheral lymphadenopathy,A18,Tuberculosis,Certain infectious and parasitic diseases
A183,respinfect,"Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis of intestines, peritoneum and mesenteric glands",A18,Tuberculosis,Certain infectious and parasitic diseases
A188,respinfect,Tuberculosis of other specified organs,Tuberculosis of other specified organs,A18,Tuberculosis,Certain infectious and parasitic diseases
A199,respinfect,"Miliary tuberculosis, unspecified","Miliary tuberculosis, unspecified",A19,Tuberculosis,Certain infectious and parasitic diseases
A310,none,Pulmonary mycobacterial infection,Pulmonary mycobacterial infection,A31,Other Bacterial Diseases,Certain infectious and parasitic diseases
A319,none,"Mycobacterial infection, unspecified","Mycobacterial infection, unspecified",A31,Other Bacterial Diseases,Certain infectious and parasitic diseases
A321,infect,Listerial meningitis and meningoencephalitis,Listerial meningitis and meningoencephalitis,A32,Other Bacterial Diseases,Certain infectious and parasitic diseases
A327,infect,Listerial sepsis,Listerial sepsis,A32,Other Bacterial Diseases,Certain infectious and parasitic diseases
A390,none,Meningococcal meningitis,Meningococcal meningitis,A39,Other Bacterial Diseases,Certain infectious and parasitic diseases
A394,infect,"Meningococcemia, unspecified","Meningococcemia, unspecified",A39,Other Bacterial Diseases,Certain infectious and parasitic diseases
A400,none,"Sepsis due to streptococcus, group A","Sepsis due to streptococcus, group A",A40,Other Bacterial Diseases,Certain infectious and parasitic diseases
A401,none,"Sepsis due to streptococcus, group B","Sepsis due to streptococcus, group B",A40,Other Bacterial Diseases,Certain infectious and parasitic diseases
A402,none,NA,NA,NA,NA,NA
A403,none,Sepsis due to Streptococcus pneumoniae,Sepsis due to Streptococcus pneumoniae,A40,Other Bacterial Diseases,Certain infectious and parasitic diseases
A408,none,Other streptococcal sepsis,Other streptococcal sepsis,A40,Other Bacterial Diseases,Certain infectious and parasitic diseases
A409,none,"Streptococcal sepsis, unspecified","Streptococcal sepsis, unspecified",A40,Other Bacterial Diseases,Certain infectious and parasitic diseases
A410,none,Sepsis due to Staphylococcus aureus,Sepsis due to Staphylococcus aureus,A41,Other Bacterial Diseases,Certain infectious and parasitic diseases
A411,none,Sepsis due to other specified staphylococcus,Sepsis due to other specified staphylococcus,A41,Other Bacterial Diseases,Certain infectious and parasitic diseases
A412,none,Sepsis due to unspecified staphylococcus,Sepsis due to unspecified staphylococcus,A41,Other Bacterial Diseases,Certain infectious and parasitic diseases
