"code","causeid","short_desc","long_desc","major","three_digit"
"A014","respinfect","PARATYPHOIDE, SAI","Paratyphoïde, sans précision","Fièvres typhoïde et paratyphoïde","A01"
"A021","infect","SEPSIS A SALMONELLA","Sepsis à Salmonella","Autres salmonelloses","A02"
"A042","enteric_all","INFECT. ENTERO-INVASIVE A ESCHERICHIA COLI","Infection entéro-invasive à Escherichia coli","Autres infections intestinales bactériennes","A04"
"A044","enteric_all","INFECT. INTEST. A ESCHERICHIA COLI, NCA","Autres infections intestinales à Escherichia coli","Autres infections intestinales bactériennes","A04"
"A045","enteric_all","ENTERITE A CAMPYLOBACTER","Entérite à Campylobacter","Autres infections intestinales bactériennes","A04"
"A046","skin","ENTERITE A YERSINIA ENTEROCOLITICA","Entérite à Yersinia enterocolitica","Autres infections intestinales bactériennes","A04"
"A047","enteric_all","ENTEROCOLITE A CLOSTRIDIUM DIFFICILE","Entérocolite à Clostridium difficile","Autres infections intestinales bactériennes","A04"
"A048","enteric_all","INFECT. INTEST. BACT. PREC., NCA","Autres infections intestinales bactériennes précisées","Autres infections intestinales bactériennes","A04"
"A049","enteric_all","INFECT. INTEST. BACT., SAI","Infection intestinale bactérienne, sans précision","Autres infections intestinales bactériennes","A04"
"A073","enteric_all","INFECT. A ISOSPORA","Infection à Isospora","Autres maladies intestinales à protozoaires","A07"
"A081","infect","GASTROENTÉROPATHIE AIGÜE DUE À UN NOROVIRUS","Gastroentéropathie aigüe due à un norovirus","Infections virales intestinales et autres infections intestinales précisées","A08"
"A083","infect","ENTERITES VIRALES, NCA","Autres entérites virales","Infections virales intestinales et autres infections intestinales précisées","A08"
"A084","infect","INFECT. INTEST. VIRALES, SAI","Infections intestinales virales, sans précision","Infections virales intestinales et autres infections intestinales précisées","A08"
"A09","enteric_all","AUTRES GASTROENTERITES COLITES INFECT. OU S.A.I","Autres gastroentérites et colites d'origine infectieuse ou non précisée","Autres gastroentérites et colites d'origine infectieuse ou non précisée","A09"
"A090","ntd","GASTROENTERITE COLITE INFECT. NCA/SAI","Gastroentérites et colites d'origine infectieuse, autres et non précisées","Autres gastroentérites et colites d'origine infectieuse ou non précisée","A09"
"A099","enteric_all","GASTROENTERITE COLITE ORIGINE SAI","Gastroentérites et colites d'origine non précisée","Autres gastroentérites et colites d'origine infectieuse ou non précisée","A09"
"A151","respinfect","TUBERC. PULM., CONFIRM. PAR CULTURE SEULEMENT","Tuberculose pulmonaire, confirmée par culture seulement","Tuberculose de l'appareil respiratoire, avec confirmation bactériologique et histologique","A15"
"A162","respinfect","TUBERC. PULM.","Tuberculose pulmonaire, (sans mention de confirmation bactériologique ou histologique)","Tuberculose de l'appareil respiratoire, sans confirmation bactériologique ou histologique","A16"
"A169","respinfect","TUBERC. DE L'APP. RESP. SAI","Tuberculose de l'appareil respiratoire sans précision, (sans mention de confirmation bactériologique ou histologique)","Tuberculose de l'appareil respiratoire, sans confirmation bactériologique ou histologique","A16"
"A170","none","MENINGITE TUBERC.","Méningite tuberculeuse (G01*)","Tuberculose du système nerveux","A17"
"A180","none","TUBERC. DES OS ET DES ARTIC.","Tuberculose des os et des articulations","Tuberculose d'autres organes","A18"
"A181","respinfect","TUBERC. DE L'APP. GEN-URIN.","Tuberculose de l'appareil génito-urinaire","Tuberculose d'autres organes","A18"
"A182","respinfect","ADENOPATHIE TUBERC. PERIPH.","Adénopathie tuberculeuse périphérique","Tuberculose d'autres organes","A18"
"A183","respinfect","TUBERC. DE L'INTESTIN, DU PERITOINE ET DES GGL. MESENT.","Tuberculose de l'intestin, du péritoine et des ganglions mésentériques","Tuberculose d'autres organes","A18"
"A188","respinfect","TUBERC. D'AUTRES ORG. PREC.","Tuberculose d'autres organes précisés","Tuberculose d'autres organes","A18"
"A199","respinfect","TUBERC. MILIAIRE, SAI","Tuberculose miliaire, sans précision","Tuberculose miliaire","A19"
"A310","none","INFECT. PULM. A MYCOBACTERIES ATYPIQUES","Infection pulmonaire à mycobactéries atypiques","Infections dues à d'autres mycobactéries","A31"
"A319","none","INFECT. A MYCOBACTERIES ATYPIQUES, SAI","Infection à mycobacteries atypiques, sans précision","Infections dues à d'autres mycobactéries","A31"
"A321","infect","MENINGITE ET MENINGO-ENCEPHALITE LISTERIENNES","Méningite et méningo-encéphalite listériennes","Listériose","A32"
"A327","infect","SEPSIS A LISTERIA","Sepsis à Listeria","Listériose","A32"
"A390","none","MENINGITE A MENINGO.","Méningite à méningocoques (G01*)","Infection à méningocoques","A39"
"A394","infect","MENINGOCOCCEMIE, SAI","Méningococcémie, sans précision","Infection à méningocoques","A39"
"A400","none","SEPSIS A STREPTO., GROUPE A","Sepsis à streptocoques, groupe A","Sepsis à streptocoques","A40"
"A401","none","SEPSIS A STREPTO., GROUPE B","Sepsis à streptocoques, groupe B","Sepsis à streptocoques","A40"
"A402","none","SEPSIS À STREPTOCOQUES, GROUPE D ET ENTÉROCOQUES","Sepsis à streptocoques, groupe D et entérocoques","Sepsis à streptocoques","A40"
"A403","none","SEPSIS A STREPTOCOCCUS PNEUMONIAE","Sepsis à Streptococcus pneumoniae","Sepsis à streptocoques","A40"
"A408","none","SEPSIS A STREPTO., NCA","Autres sepsis à streptocoques","Sepsis à streptocoques","A40"
"A409","none","SEPSIS A STREPTO., SAI","Sepsis à streptocoques, sans précision","Sepsis à streptocoques","A40"
"A410","none","SEPSIS A STAPHYLO. DORES","Sepsis à staphylocoques dorés","Autres sepsis","A41"
"A411","none","SEPSIS A D'AUTRES STAPHYLO. PREC.","Sepsis à d'autres staphylocoques précisés","Autres sepsis","A41"
"A412","none","SEPSIS A STAPHYLO., SAI","Sepsis à staphylocoques non précisés","Autres sepsis","A41"
"A413","none","SEPSIS A HAEMOPHILUS INFLUENZAE","Sepsis à Haemophilus influenzae","Autres sepsis","A41"
"A414","none","SEPSIS A MICRO-ORG. ANAEROBIES","Sepsis à microorganismes anaérobies","Autres sepsis","A41"
"A415","none","SEPSIS A D'AUTRES MICRO-ORG. GRAM NEGATIF","Sepsis à d'autres microorganismes Gram négatif","Autres sepsis","A41"
"A418","none","SEPSIS PREC., NCA","Autres sepsis précisés","Autres sepsis","A41"
"A419","none","SEPSIS, SAI","Sepsis, sans précision","Autres sepsis","A41"
"A430","none","NOCARDIOSE PULM.","Nocardiose pulmonaire","Nocardiose","A43"
"A438","none","NOCARDIOSE, NCA","Autres formes de nocardiose","Nocardiose","A43"
"A439","none","NOCARDIOSE, SAI","Nocardiose, sans précision","Nocardiose","A43"
"A480","none","GANGRENE GAZEUSE","Gangrène gazeuse","Autres maladies bactériennes, non classées ailleurs","A48"
"A481","respinfect","MAL. DES LEGIONNAIRES PULM. OU SAI","Maladie des légionnaires (pulmonaire)","Autres maladies bactériennes, non classées ailleurs","A48"
"A483","none","SYND. DU CHOC TOXIQUE","Syndrome du choc toxique","Autres maladies bactériennes, non classées ailleurs","A48"
"A488","none","MAL. BACT. PREC., NCA","Autres maladies bactériennes précisées","Autres maladies bactériennes, non classées ailleurs","A48"
"A490","none","INFECT. A STAPHYLO., SAI","Infection à staphylocoques, sans précision","Infection bactérienne, siège non précisé","A49"
"A491","none","INFECTION À STREPTOCOQUES ET ENTÉROCOQUES, SIÈGE NON PRÉCISÉ","Infection à streptocoques et entérocoques, siège non précisé","Infection bactérienne, siège non précisé","A49"
"A498","none","INFECT. BACT. NCA, SIEGE SAI","Autres infections bactériennes, siège non précisé","Infection bactérienne, siège non précisé","A49"
"A499","none","INFECT. BACT., SAI","Infection bactérienne, sans précision","Infection bactérienne, siège non précisé","A49"
"A509","hiv_std","SYPHILIS CONG., SAI","Syphilis congénitale, sans précision","Syphilis congénitale","A50"
"A539","hiv_std","SYPHILIS, SAI","Syphilis, sans précision","Syphilis, autres et sans précision","A53"
"A810","none","MAL. DE CREUTZFELDT-JAKOB","Maladie de Creutzfeldt-Jakob","Infections atypiques à virus, du système nerveux central","A81"
"A812","infect","LEUCOENCEPHALOPATHIE MULTIFOCALE","Leucoencéphalopathie multifocale (progressive)","Infections atypiques à virus, du système nerveux central","A81"
