predicted_causeid,code,short_desc,long_desc,three_digit,sub_chapter,chapter,all_text
infect,A170,Tuberculous meningitis,Tuberculous meningitis,A17,Tuberculosis,Certain infectious and parasitic diseases,A170 Tuberculous meningitis Tuberculosis Certain infectious and parasitic diseases
respinfect,A180,Tuberculosis of bones and joints,Tuberculosis of bones and joints,A18,Tuberculosis,Certain infectious and parasitic diseases,A180 Tuberculosis of bones and joints Tuberculosis Certain infectious and parasitic diseases
infect,A310,Pulmonary mycobacterial infection,Pulmonary mycobacterial infection,A31,Other Bacterial Diseases,Certain infectious and parasitic diseases,A310 Pulmonary mycobacterial infection Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A319,"Mycobacterial infection, unspecified","Mycobacterial infection, unspecified",A31,Other Bacterial Diseases,Certain infectious and parasitic diseases,"A319 Mycobacterial infection, unspecified Other Bacterial Diseases Certain infectious and parasitic diseases"
infect,A390,Meningococcal meningitis,Meningococcal meningitis,A39,Other Bacterial Diseases,Certain infectious and parasitic diseases,A390 Meningococcal meningitis Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A400,"Sepsis due to streptococcus, group A","Sepsis due to streptococcus, group A",A40,Other Bacterial Diseases,Certain infectious and parasitic diseases,"A400 Sepsis due to streptococcus, group A Other Bacterial Diseases Certain infectious and parasitic diseases"
infect,A401,"Sepsis due to streptococcus, group B","Sepsis due to streptococcus, group B",A40,Other Bacterial Diseases,Certain infectious and parasitic diseases,"A401 Sepsis due to streptococcus, group B Other Bacterial Diseases Certain infectious and parasitic diseases"
infect,A403,Sepsis due to Streptococcus pneumoniae,Sepsis due to Streptococcus pneumoniae,A40,Other Bacterial Diseases,Certain infectious and parasitic diseases,A403 Sepsis due to Streptococcus pneumoniae Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A408,Other streptococcal sepsis,Other streptococcal sepsis,A40,Other Bacterial Diseases,Certain infectious and parasitic diseases,A408 Other streptococcal sepsis Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A409,"Streptococcal sepsis, unspecified","Streptococcal sepsis, unspecified",A40,Other Bacterial Diseases,Certain infectious and parasitic diseases,"A409 Streptococcal sepsis, unspecified Other Bacterial Diseases Certain infectious and parasitic diseases"
infect,A410,Sepsis due to Staphylococcus aureus,Sepsis due to Staphylococcus aureus,A41,Other Bacterial Diseases,Certain infectious and parasitic diseases,A410 Sepsis due to Staphylococcus aureus Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A411,Sepsis due to other specified staphylococcus,Sepsis due to other specified staphylococcus,A41,Other Bacterial Diseases,Certain infectious and parasitic diseases,A411 Sepsis due to other specified staphylococcus Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A412,Sepsis due to unspecified staphylococcus,Sepsis due to unspecified staphylococcus,A41,Other Bacterial Diseases,Certain infectious and parasitic diseases,A412 Sepsis due to unspecified staphylococcus Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A413,Sepsis due to Hemophilus influenzae,Sepsis due to Hemophilus influenzae,A41,Other Bacterial Diseases,Certain infectious and parasitic diseases,A413 Sepsis due to Hemophilus influenzae Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A414,Sepsis due to anaerobes,Sepsis due to anaerobes,A41,Other Bacterial Diseases,Certain infectious and parasitic diseases,A414 Sepsis due to anaerobes Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A415,Sepsis due to other Gram-negative organisms,Sepsis due to other Gram-negative organisms,A41,Other Bacterial Diseases,Certain infectious and parasitic diseases,A415 Sepsis due to other Gram-negative organisms Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A418,Other specified sepsis,Other specified sepsis,A41,Other Bacterial Diseases,Certain infectious and parasitic diseases,A418 Other specified sepsis Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A419,"Sepsis, unspecified organism","Sepsis, unspecified organism",A41,Other Bacterial Diseases,Certain infectious and parasitic diseases,"A419 Sepsis, unspecified organism Other Bacterial Diseases Certain infectious and parasitic diseases"
infect,A430,Pulmonary nocardiosis,Pulmonary nocardiosis,A43,Other Bacterial Diseases,Certain infectious and parasitic diseases,A430 Pulmonary nocardiosis Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A438,Other forms of nocardiosis,Other forms of nocardiosis,A43,Other Bacterial Diseases,Certain infectious and parasitic diseases,A438 Other forms of nocardiosis Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A439,"Nocardiosis, unspecified","Nocardiosis, unspecified",A43,Other Bacterial Diseases,Certain infectious and parasitic diseases,"A439 Nocardiosis, unspecified Other Bacterial Diseases Certain infectious and parasitic diseases"
infect,A480,Gas gangrene,Gas gangrene,A48,Other Bacterial Diseases,Certain infectious and parasitic diseases,A480 Gas gangrene Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A483,Toxic shock syndrome,Toxic shock syndrome,A48,Other Bacterial Diseases,Certain infectious and parasitic diseases,A483 Toxic shock syndrome Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A488,Other specified bacterial diseases,Other specified bacterial diseases,A48,Other Bacterial Diseases,Certain infectious and parasitic diseases,A488 Other specified bacterial diseases Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A490,"Staphylococcal infection, unspecified site","Staphylococcal infection, unspecified site",A49,Other Bacterial Diseases,Certain infectious and parasitic diseases,"A490 Staphylococcal infection, unspecified site Other Bacterial Diseases Certain infectious and parasitic diseases"
infect,A491,"Streptococcal infection, unspecified site","Streptococcal infection, unspecified site",A49,Other Bacterial Diseases,Certain infectious and parasitic diseases,"A491 Streptococcal infection, unspecified site Other Bacterial Diseases Certain infectious and parasitic diseases"
infect,A498,Other bacterial infections of unspecified site,Other bacterial infections of unspecified site,A49,Other Bacterial Diseases,Certain infectious and parasitic diseases,A498 Other bacterial infections of unspecified site Other Bacterial Diseases Certain infectious and parasitic diseases
infect,A499,"Bacterial infection, unspecified","Bacterial infection, unspecified",A49,Other Bacterial Diseases,Certain infectious and parasitic diseases,"A499 Bacterial infection, unspecified Other Bacterial Diseases Certain infectious and parasitic diseases"
infect,A810,Creutzfeldt-Jakob disease,Creutzfeldt-Jakob disease,A81,Viral And Prion Infections Of The Central Nervous System,Certain infectious and parasitic diseases,A810 Creutzfeldt-Jakob disease Viral And Prion Infections Of The Central Nervous System Certain infectious and parasitic diseases
infect,B180,Chronic viral hepatitis B with delta-agent,Chronic viral hepatitis B with delta-agent,B18,Viral Hepatitis,Certain infectious and parasitic diseases,B180 Chronic viral hepatitis B with delta-agent Viral Hepatitis Certain infectious and parasitic diseases
infect,B250,Cytomegaloviral pneumonitis,Cytomegaloviral pneumonitis,B25,Other Viral Diseases,Certain infectious and parasitic diseases,B250 Cytomegaloviral pneumonitis Other Viral Diseases Certain infectious and parasitic diseases
infect,B270,Gammaherpesviral mononucleosis,Gammaherpesviral mononucleosis,B27,Other Viral Diseases,Certain infectious and parasitic diseases,B270 Gammaherpesviral mononucleosis Other Viral Diseases Certain infectious and parasitic diseases
infect,B341,"Enterovirus infection, unspecified","Enterovirus infection, unspecified",B34,Other Viral Diseases,Certain infectious and parasitic diseases,"B341 Enterovirus infection, unspecified Other Viral Diseases Certain infectious and parasitic diseases"
infect,B348,Other viral infections of unspecified site,Other viral infections of unspecified site,B34,Other Viral Diseases,Certain infectious and parasitic diseases,B348 Other viral infections of unspecified site Other Viral Diseases Certain infectious and parasitic diseases
infect,B349,"Viral infection, unspecified","Viral infection, unspecified",B34,Other Viral Diseases,Certain infectious and parasitic diseases,"B349 Viral infection, unspecified Other Viral Diseases Certain infectious and parasitic diseases"
infect,B369,"Superficial mycosis, unspecified","Superficial mycosis, unspecified",B36,Mycoses,Certain infectious and parasitic diseases,"B369 Superficial mycosis, unspecified Mycoses Certain infectious and parasitic diseases"
infect,B370,Candidal stomatitis,Candidal stomatitis,B37,Mycoses,Certain infectious and parasitic diseases,B370 Candidal stomatitis Mycoses Certain infectious and parasitic diseases
infect,B371,Pulmonary candidiasis,Pulmonary candidiasis,B37,Mycoses,Certain infectious and parasitic diseases,B371 Pulmonary candidiasis Mycoses Certain infectious and parasitic diseases
infect,B374,Candidiasis of other urogenital sites,Candidiasis of other urogenital sites,B37,Mycoses,Certain infectious and parasitic diseases,B374 Candidiasis of other urogenital sites Mycoses Certain infectious and parasitic diseases
infect,B375,Candidal meningitis,Candidal meningitis,B37,Mycoses,Certain infectious and parasitic diseases,B375 Candidal meningitis Mycoses Certain infectious and parasitic diseases
infect,B376,Candidal endocarditis,Candidal endocarditis,B37,Mycoses,Certain infectious and parasitic diseases,B376 Candidal endocarditis Mycoses Certain infectious and parasitic diseases
infect,B377,Candidal sepsis,Candidal sepsis,B37,Mycoses,Certain infectious and parasitic diseases,B377 Candidal sepsis Mycoses Certain infectious and parasitic diseases
infect,B378,Candidiasis of other sites,Candidiasis of other sites,B37,Mycoses,Certain infectious and parasitic diseases,B378 Candidiasis of other sites Mycoses Certain infectious and parasitic diseases
infect,B379,"Candidiasis, unspecified","Candidiasis, unspecified",B37,Mycoses,Certain infectious and parasitic diseases,"B379 Candidiasis, unspecified Mycoses Certain infectious and parasitic diseases"
infect,B382,"Pulmonary coccidioidomycosis, unspecified","Pulmonary coccidioidomycosis, unspecified",B38,Mycoses,Certain infectious and parasitic diseases,"B382 Pulmonary coccidioidomycosis, unspecified Mycoses Certain infectious and parasitic diseases"
infect,B440,Invasive pulmonary aspergillosis,Invasive pulmonary aspergillosis,B44,Mycoses,Certain infectious and parasitic diseases,B440 Invasive pulmonary aspergillosis Mycoses Certain infectious and parasitic diseases
infect,B441,Other pulmonary aspergillosis,Other pulmonary aspergillosis,B44,Mycoses,Certain infectious and parasitic diseases,B441 Other pulmonary aspergillosis Mycoses Certain infectious and parasitic diseases
