predicted_causeid,code,short_desc,long_desc,major,three_digit
neo,A170,MENINGITE TUBERC.,Méningite tuberculeuse (G01*),Tuberculose du système nerveux,A17
neo,A180,TUBERC. DES OS ET DES ARTIC.,Tuberculose des os et des articulations,Tuberculose d'autres organes,A18
neo,A310,INFECT. PULM. A MYCOBACTERIES ATYPIQUES,Infection pulmonaire à mycobactéries atypiques,Infections dues à d'autres mycobactéries,A31
neo,A319,"INFECT. A MYCOBACTERIES ATYPIQUES, SAI","Infection à mycobacteries atypiques, sans précision",Infections dues à d'autres mycobactéries,A31
neo,A390,MENINGITE A MENINGO.,Méningite à méningocoques (G01*),Infection à méningocoques,A39
neo,A400,"SEPSIS A STREPTO., GROUPE A","Sepsis à streptocoques, groupe A",Sepsis à streptocoques,A40
neo,A401,"SEPSIS A STREPTO., GROUPE B","Sepsis à streptocoques, groupe B",Sepsis à streptocoques,A40
neo,A402,"SEPSIS À STREPTOCOQUES, GROUPE D ET ENTÉROCOQUES","Sepsis à streptocoques, groupe D et entérocoques",Sepsis à streptocoques,A40
neo,A403,SEPSIS A STREPTOCOCCUS PNEUMONIAE,Sepsis à Streptococcus pneumoniae,Sepsis à streptocoques,A40
neo,A408,"SEPSIS A STREPTO., NCA",Autres sepsis à streptocoques,Sepsis à streptocoques,A40
neo,A409,"SEPSIS A STREPTO., SAI","Sepsis à streptocoques, sans précision",Sepsis à streptocoques,A40
neo,A410,SEPSIS A STAPHYLO. DORES,Sepsis à staphylocoques dorés,Autres sepsis,A41
neo,A411,SEPSIS A D'AUTRES STAPHYLO. PREC.,Sepsis à d'autres staphylocoques précisés,Autres sepsis,A41
neo,A412,"SEPSIS A STAPHYLO., SAI",Sepsis à staphylocoques non précisés,Autres sepsis,A41
neo,A413,SEPSIS A HAEMOPHILUS INFLUENZAE,Sepsis à Haemophilus influenzae,Autres sepsis,A41
neo,A414,SEPSIS A MICRO-ORG. ANAEROBIES,Sepsis à microorganismes anaérobies,Autres sepsis,A41
neo,A415,SEPSIS A D'AUTRES MICRO-ORG. GRAM NEGATIF,Sepsis à d'autres microorganismes Gram négatif,Autres sepsis,A41
neo,A418,"SEPSIS PREC., NCA",Autres sepsis précisés,Autres sepsis,A41
neo,A419,"SEPSIS, SAI","Sepsis, sans précision",Autres sepsis,A41
neo,A430,NOCARDIOSE PULM.,Nocardiose pulmonaire,Nocardiose,A43
neo,A438,"NOCARDIOSE, NCA",Autres formes de nocardiose,Nocardiose,A43
neo,A439,"NOCARDIOSE, SAI","Nocardiose, sans précision",Nocardiose,A43
neo,A480,GANGRENE GAZEUSE,Gangrène gazeuse,"Autres maladies bactériennes, non classées ailleurs",A48
otherncd,A483,SYND. DU CHOC TOXIQUE,Syndrome du choc toxique,"Autres maladies bactériennes, non classées ailleurs",A48
neo,A488,"MAL. BACT. PREC., NCA",Autres maladies bactériennes précisées,"Autres maladies bactériennes, non classées ailleurs",A48
neo,A490,"INFECT. A STAPHYLO., SAI","Infection à staphylocoques, sans précision","Infection bactérienne, siège non précisé",A49
neo,A491,"INFECTION À STREPTOCOQUES ET ENTÉROCOQUES, SIÈGE NON PRÉCISÉ","Infection à streptocoques et entérocoques, siège non précisé","Infection bactérienne, siège non précisé",A49
neo,A498,"INFECT. BACT. NCA, SIEGE SAI","Autres infections bactériennes, siège non précisé","Infection bactérienne, siège non précisé",A49
neo,A499,"INFECT. BACT., SAI","Infection bactérienne, sans précision","Infection bactérienne, siège non précisé",A49
neo,A810,MAL. DE CREUTZFELDT-JAKOB,Maladie de Creutzfeldt-Jakob,"Infections atypiques à virus, du système nerveux central",A81
neo,B180,HEPATITE VIRALE CHRON. B AVEC AGENT DELTA,Hépatite virale chronique B avec agent delta,Hépatite virale chronique,B18
neo,B200,MAL. PAR VIH A L'ORIGINE D'UNE INFECT. MYCOBACTERIENNE,Maladie par VIH à l'origine d'une infection mycobactérienne,"Immunodéficience humaine virale [VIH], à l'origine de maladies infectieuses et parasitaires",B20
neo,B210,MAL. PAR VIH A L'ORIGINE D'UN SARCOME DE KAPOSI,Maladie par VIH à l'origine d'un sarcome de Kaposi,"Immunodéficience humaine virale [VIH], à l'origine de tumeurs malignes",B21
neo,B220,MAL. PAR VIH A L'ORIGINE D'UNE ENCEPHALOPATHIE,Maladie par VIH à l'origine d'une encéphalopathie,"Immunodéficience humaine virale [VIH], à l'origine d'autres affections précisées",B22
neo,B250,PNEUMOPATHIE A CYTOMEGALOVIRUS,Pneumopathie à cytomégalovirus (J17.1*),Maladie à cytomégalovirus,B25
cvd,B270,MONONUCLEOSE DUE A HERPESVIRUS GAMMA,Mononucléose due à herpèsvirus gamma,Mononucléose infectieuse,B27
neo,B341,"INFECT. ENTEROVIRALE, SAI","Infection entérovirale, sans précision","Infection virale, siège non précisé",B34
neo,B348,"INFECT. VIRALES NCA, SIEGE SAI","Autres infections virales, siège non précisé","Infection virale, siège non précisé",B34
neo,B349,"INFECT. VIRALE, SAI","Infection virale, sans précision","Infection virale, siège non précisé",B34
neo,B369,"MYCOSE SUPERF., SAI","Mycose superficielle, sans précision",Autres mycoses superficielles,B36
neo,B370,STOMATITE A CANDIDA,Stomatite à Candida,Candidose,B37
neo,B371,CANDIDOSE PULM.,Candidose pulmonaire,Candidose,B37
neo,B374,CANDIDOSE D'AUTRES LOC. URO-GEN.,Candidose d'autres localisations uro-génitales,Candidose,B37
neo,B375,MENINGITE A CANDIDA,Méningite à Candida (G02.1*),Candidose,B37
neo,B376,ENDOCARDITE A CANDIDA,Endocardite à Candida (I39.8*),Candidose,B37
neo,B377,SEPSIS A CANDIDA,Sepsis à Candida,Candidose,B37
neo,B378,"LOC. NCA, DE CANDIDOSE",Autres localisations de candidose,Candidose,B37
neo,B379,"CANDIDOSE, SAI","Candidose, sans précision",Candidose,B37
neo,B382,"COCCIDIOIDOMYCOSE PULM., SAI","Coccidioïdomycose pulmonaire, sans précision",Coccidioïdomycose,B38
neo,B440,ASPERGILLOSE PULM. INVASIVE,Aspergillose pulmonaire invasive,Aspergillose,B44
neo,B441,"ASPERGILLOSES PULM., NCA",Autres aspergilloses pulmonaires,Aspergillose,B44
neo,B447,ASPERGILLOSE DISSEMINEE,Aspergillose disséminée,Aspergillose,B44
neo,B448,"ASPERGILLOSE, NCA",Autres formes d'aspergillose,Aspergillose,B44
neo,B449,"ASPERGILLOSE, SAI","Aspergillose, sans précision",Aspergillose,B44
neo,B450,CRYPTOCOCCOSE PULM.,Cryptococcose pulmonaire,Cryptococcose,B45
neo,B451,CRYPTOCOCCOSE CEREB.,Cryptococcose cérébrale,Cryptococcose,B45
neo,B457,CRYPTOCOCCOSE DISSEMINEE,Cryptococcose disséminée,Cryptococcose,B45
neo,B465,"MUCORMYCOSE, SAI","Mucormycose, sans précision",Zygomycose,B46
neo,B582,MENINGO-ENCEPHALITE A TOXOPLASMA,Méningo-encéphalite à Toxoplasma (G05.2*),Toxoplasmose,B58
neo,B589,"TOXOPLASMOSE, SAI","Toxoplasmose, sans précision",Toxoplasmose,B58
neo,B787,ANGUILLULOSE DISSEMINEE,Anguillulose disséminée,Anguillulose [strongyloïdose],B78
neo,B789,"ANGUILLULOSE, SAI","Anguillulose, sans précision",Anguillulose [strongyloïdose],B78
neo,B900,SEQ. DE TUBERC. DU S.N.C.,Séquelles de tuberculose du système nerveux central,Séquelles de tuberculose,B90
neo,B948,"SEQ. DE MAL. INFECT. ET PARASIT., NCA",Séquelles d'autres maladies infectieuses et parasitaires précisées,"Séquelles de maladies infectieuses et parasitaires, autres et non précisées",B94
neo,B99,"MAL. INFECT., NCA OU SAI","Maladies infectieuses, autres et non précisées","Maladies infectieuses, autres et non précisées",B99
neo,C080,T.M. DE LA GLD. SOUS-MAXILLAIRE,Tumeur maligne de la glande sous-maxillaire,"Tumeur maligne des glandes salivaires principales, autres et non précisées",C08
neo,C100,T.M. DU SILLON GLOSSO-EPIGLOTTIQUE,Tumeur maligne du sillon glosso-épiglottique,Tumeur maligne de l'oropharynx,C10
neo,C130,T.M. DE LA REGION RETRO-CRICOIDIENNE,Tumeur maligne de la région rétro-cricoïdienne,Tumeur maligne de l'hypopharynx,C13
neo,C140,"T.M. DU PHARYNX, SAI","Tumeur maligne du pharynx, sans précision","Tumeur maligne de la lèvre, de la cavité buccale et du pharynx, de sièges autres et mal définis",C14
neo,C148,"T.M. A LOC. CONTIGUES DE LA LEVRE, DE LA CAV. BUCC. ET DU PHARYNX","Tumeur maligne à localisations contiguës de la lèvre, de la cavité buccale et du pharynx","Tumeur maligne de la lèvre, de la cavité buccale et du pharynx, de sièges autres et mal définis",C14
neo,C150,T.M. DE L'OESOPHAGE CERV.,Tumeur maligne de l'oesophage cervical,Tumeur maligne de l'oesophage,C15
neo,C160,T.M. DU CARDIA,Tumeur maligne du cardia,Tumeur maligne de l'estomac,C16
neo,C170,T.M. DU DUODENUM,Tumeur maligne du duodénum,Tumeur maligne de l'intestin grêle,C17
neo,C180,T.M. DU CAECUM,Tumeur maligne du caecum,Tumeur maligne du côlon,C18
neo,C210,"T.M. DE L'ANUS, SAI","Tumeur maligne de l'anus, sans précision",Tumeur maligne de l'anus et du canal anal,C21
neo,C220,CARC. HEPATOCELLULAIRE,Carcinome hépatocellulaire,Tumeur maligne du foie et des voies biliaires intrahépatiques,C22
neo,C240,T.M. DU CANAL BIL. EXTRA-HEPATIQUE,Tumeur maligne du canal biliaire extra-hépatique,"Tumeurs malignes des voies biliaires, autres et non précisées",C24
neo,C250,T.M. DE LA TETE DU PANCREAS,Tumeur maligne de la tête du pancréas,Tumeur maligne du pancréas,C25
otherncd,C260,T.M. DU TRACTUS INTEST.,"Tumeur maligne du tractus intestinal, (partie non précisée)","Tumeur maligne des organes digestifs, de sièges autres et mal définis",C26
neo,C261,T.M. DE LA RATE,Tumeur maligne de la rate,"Tumeur maligne des organes digestifs, de sièges autres et mal définis",C26
neo,C268,T.M. A LOC. CONTIGUES DE L'APP. DIG.,Tumeur maligne à localisations contiguës de l'appareil digestif,"Tumeur maligne des organes digestifs, de sièges autres et mal définis",C26
neo,C269,T.M. DE SIEGES MAL DEFINIS DE L'APP. DIG.,Tumeur maligne de sièges mal définis de l'appareil digestif,"Tumeur maligne des organes digestifs, de sièges autres et mal définis",C26
neo,C300,T.M. DES FOSSES NASALES,Tumeur maligne des fosses nasales,Tumeur maligne des fosses nasales et de l'oreille moyenne,C30
neo,C310,T.M. DU SINUS MAXILLAIRE,Tumeur maligne du sinus maxillaire,Tumeur maligne des sinus de la face,C31
neo,C320,T.M. DE LA GLOTTE,Tumeur maligne de la glotte,Tumeur maligne du larynx,C32
neo,C340,T.M. DE LA BRONCHE SOUCHE,Tumeur maligne de la bronche souche,Tumeur maligne des bronches et du poumon,C34
neo,C380,T.M. DU COEUR,Tumeur maligne du coeur,"Tumeur maligne du coeur, du médiastin et de la plèvre",C38
neo,C399,T.M. DE SIEGES MAL DEFINIS DE L'APP. RESP.,Tumeur maligne de sièges mal définis de l'appareil respiratoire,"Tumeur maligne de l'appareil respiratoire et des organes intrathoraciques, de sièges autres et mal définis",C39
neo,C400,T.M. DE L'OMOPLATE ET DES OS LONGS DU MB. SUP.,Tumeur maligne de l'omoplate et des os longs du membre supérieur,Tumeur maligne des os et du cartilage articulaire des membres,C40
neo,C410,T.M. DES OS DU CRANE ET DE LA FACE,Tumeur maligne des os du crâne et de la face,"Tumeur maligne des os et du cartilage articulaire, de sièges autres et non précisés",C41
neo,C430,MELANOME MALIN DE LA LEVRE,Mélanome malin de la lèvre,Mélanome malin de la peau,C43
neo,C440,T.M. DE LA FACE CUTANEE DE LA LEVRE,Tumeur maligne de la face cutanée de la lèvre,Autres tumeurs malignes de la peau,C44
neo,C450,MESOTHELIOME DE LA PLEVRE,Mésothéliome de la plèvre,Mésothéliome,C45
neo,C460,SARCOME DE KAPOSI DE LA PEAU,Sarcome de Kaposi de la peau,Sarcome de Kaposi,C46
neo,C469,"SARCOME DE KAPOSI, SAI","Sarcome de Kaposi, sans précision",Sarcome de Kaposi,C46
neo,C470,"T.M. DES NERFS PERIPH. DE TETE, FACE, COU","Tumeur maligne des nerfs périphériques de la tête, de la face et du cou",Tumeur maligne des nerfs périphériques et du système nerveux autonome,C47
neo,C480,T.M. DU RETROPERITOINE,Tumeur maligne du rétropéritoine,Tumeur maligne du rétropéritoine et du péritoine,C48
neo,C490,"T.M. DU TISSU CONJ. ET DES TISSUS MOUS NCA DE TETE, FACE, COU","Tumeur maligne du tissu conjonctif et des autres tissus mous de la tête, de la face et du cou",Tumeur maligne du tissu conjonctif et des autres tissus mous,C49
neo,C500,T.M. DU MAMELON ET DE L'AREOLE,Tumeur maligne du mamelon et de l'aréole,Tumeur maligne du sein,C50
neo,C510,T.M. DE LA GD. LEVRE,Tumeur maligne de la grande lèvre,Tumeur maligne de la vulve,C51
neo,C530,T.M. DE L'ENDOCOL,Tumeur maligne de l'endocol,Tumeur maligne du col de l'utérus,C53
neo,C570,T.M. D'UNE TROMPE DE FALLOPE,Tumeur maligne d'une trompe de Fallope,"Tumeur maligne des organes génitaux de la femme, autres et non précisés",C57
neo,C579,"T.M. D'UN ORG. GEN. DE LA FEMME, SAI","Tumeur maligne d'un organe génital de la femme, sans précision","Tumeur maligne des organes génitaux de la femme, autres et non précisés",C57
neo,C639,"T.M. D'UN ORG. GEN. DE L'HOMME, SAI","Tumeur maligne d'un organe génital de l'homme, sans précision","Tumeur maligne des organes génitaux de l'homme, autres et non précisés",C63
neo,C680,T.M. DE L'URETRE,Tumeur maligne de l'urètre,"Tumeur maligne des organes urinaires, autres et non précisés",C68
neo,C689,"T.M. D'UN ORG. URIN., SAI","Tumeur maligne d'un organe urinaire, sans précision","Tumeur maligne des organes urinaires, autres et non précisés",C68
neo,C690,T.M. DE LA CONJONCTIVE,Tumeur maligne de la conjonctive,Tumeur maligne de l'oeil et de ses annexes,C69
neo,C700,T.M. DES MENINGES CEREB.,Tumeur maligne des méninges cérébrales,Tumeur maligne des méninges,C70
neo,C710,"T.M. DU CERVEAU, SAUF LOBES ET VENTRICULES","Tumeur maligne du cerveau, sauf lobes et ventricules",Tumeur maligne de l'encéphale,C71
neo,C720,T.M. DE LA MOELLE EP.,Tumeur maligne de la moelle épinière,"Tumeur maligne de la moelle épinière, des nerfs crâniens et d'autres parties du système nerveux central",C72
neo,C740,T.M. DU CORTEX DE LA SURRENALE,Tumeur maligne du cortex de la surrénale,Tumeur maligne de la surrénale,C74
neo,C750,T.M. DE LA PARATHYROIDE,Tumeur maligne de la parathyroïde,Tumeur maligne d'autres glandes endocrines et structures apparentées,C75
otherncd,C759,"T.M. D'UNE GLD. ENDOCRINE, SAI","Tumeur maligne d'une glande endocrine, sans précision",Tumeur maligne d'autres glandes endocrines et structures apparentées,C75
