causeid,all_text
respinfect,"['a014', 'paratyphoid', 'fever', 'unspecified', 'intestinal', 'infectious', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['a021', 'salmonella', 'sepsis', 'intestinal', 'infectious', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
enteric_all,"['a042', 'enteroinvasive', 'escherichia', 'coli', 'infection', 'intestinal', 'infectious', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
enteric_all,"['a044', 'intestinal', 'escherichia', 'coli', 'infections', 'intestinal', 'infectious', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
enteric_all,"['a045', 'campylobacter', 'enteritis', 'intestinal', 'infectious', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
skin,"['a046', 'enteritis', 'due', 'yersinia', 'enterocolitica', 'intestinal', 'infectious', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
enteric_all,"['a047', 'enterocolitis', 'due', 'clostridium', 'difficile', 'intestinal', 'infectious', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
enteric_all,"['a048', 'specified', 'bacterial', 'intestinal', 'infections', 'intestinal', 'infectious', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
enteric_all,"['a049', 'bacterial', 'intestinal', 'infection', 'unspecified', 'intestinal', 'infectious', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
enteric_all,"['a073', 'isosporiasis', 'intestinal', 'infectious', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['a081', 'acute', 'gastroenteropathy', 'due', 'norwalk', 'agent', 'small', 'round', 'viruses', 'intestinal', 'infectious', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['a083', 'viral', 'enteritis', 'intestinal', 'infectious', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['a084', 'viral', 'intestinal', 'infection', 'unspecified', 'intestinal', 'infectious', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
