,img0035,img0036,img0037,img0038,img0039,img0040,mean,std
background/other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spleen,0.782,0.827,0.701,0.804,0.853,0.643,0.768,0.073
right kidney,0.695,0.797,0.765,0.529,0.713,0.771,0.712,0.089
left kidney,0.677,0.721,0.839,0.822,0.712,0.872,0.774,0.073
gallbladder,,0.343,0.635,0.121,0.64,0.31,0.41,0.201
esophagus,0.606,0.454,0.691,0.642,0.549,0.417,0.56,0.098
liver,0.87,0.884,0.869,0.771,0.911,0.875,0.863,0.044
stomach,0.704,0.713,0.349,0.681,0.768,0.742,0.66,0.142
aorta,0.736,0.744,0.826,0.602,0.757,0.53,0.699,0.101
inferior vena cava,0.689,0.749,0.738,0.623,0.569,0.624,0.665,0.065
portal vein and splenic vein,0.575,0.433,0.552,0.409,0.548,0.492,0.502,0.063
pancreas,0.001,0.001,0.003,0.002,0.001,0.001,0.002,0.001
right adrenal gland,0.352,0.501,0.561,0.46,0.384,0.515,0.462,0.073
left adrenal gland,0.386,0.396,0.235,0.29,0.481,0.548,0.389,0.106
